ticker,cd_cvm,nome,setor
ABCB4,020958,BCO ABC BRASIL S.A.,Financeiro
ABEV3,023264,AMBEV S.A.,Consumo não Cíclico
ALUP11,021490,ALUPAR INVESTIMENTO S/A,Utilidade Pública
ASAI3,025372,SENDAS DISTRIBUIDORA S.A.,Consumo não Cíclico
B3SA3,021610,"B3 S.A. - BRASIL, BOLSA, BALCÃO",Financeiro
BBAS3,001023,BCO BRASIL S.A.,Financeiro
BBDC4,000906,BCO BRADESCO S.A.,Financeiro
BBSE3,023159,BB SEGURIDADE PARTICIPAÇÕES S.A.,Financeiro
BEEF3,020931,MINERVA S.A.,Consumo não Cíclico
BRFS3,016292,BRF S.A.,Consumo não Cíclico
CMIG4,002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,Utilidade Pública
CPFE3,018660,CPFL ENERGIA S.A.,Utilidade Pública
CPLE6,014311,CIA PARANAENSE DE ENERGIA - COPEL,Utilidade Pública
CSAN3,019836,COSAN S.A.,Petróleo e Gás
CSMG3,019445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,Utilidade Pública
CSNA3,004030,CIA SIDERURGICA NACIONAL,Materiais Básicos
CYRE3,014460,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,Consumo Cíclico
DXCO3,021091,DEXCO S.A.,Materiais Básicos
EGIE3,017329,ENGIE BRASIL ENERGIA S.A.,Utilidade Pública
ELET3,015784,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,Utilidade Pública
EMBR3,020087,EMBRAER S.A.,Bens Industriais
EQTL3,020010,EQUATORIAL S.A.,Utilidade Pública
FLRY3,021881,FLEURY S.A.,Saúde
GGBR4,003980,GERDAU S.A.,Materiais Básicos
GOAU4,008656,METALURGICA GERDAU S.A.,Materiais Básicos
GRND3,019615,GRENDENE S.A.,Consumo Cíclico
HYPE3,021431,HYPERA S.A.,Saúde
ITSA4,007617,ITAÚSA S.A.,Financeiro
ITUB4,019348,ITAU UNIBANCO HOLDING S.A.,Financeiro
JBSS3,020575,JBS S.A.,Consumo não Cíclico
KEPL3,007870,KEPLER WEBER S.A.,Bens Industriais
KLBN11,012653,KLABIN S.A.,Materiais Básicos
LREN3,008133,LOJAS RENNER S.A.,Consumo Cíclico
MGLU3,022470,MAGAZINE LUIZA S.A.,Consumo Cíclico
MRFG3,020788,MARFRIG GLOBAL FOODS S.A.,Consumo não Cíclico
MRVE3,020915,MRV ENGENHARIA E PARTICIPACOES S.A.,Consumo Cíclico
NEOE3,015539,NEOENERGIA S.A.,Utilidade Pública
PCAR3,014826,CIA BRASILEIRA DE DISTRIBUICAO,Consumo não Cíclico
PETR3,009512,PETROLEO BRASILEIRO S.A. PETROBRAS,Petróleo e Gás
PETR4,009512,PETROLEO BRASILEIRO S.A. PETROBRAS,Petróleo e Gás
POMO4,008451,MARCOPOLO S.A.,Bens Industriais
PRIO3,027200,PETRO RIO JAGUAR PETRÓLEO S.A.,Petróleo e Gás
PSSA3,016659,PORTO SEGURO S.A.,Financeiro
RADL3,005258,RAIA DROGASIL S.A.,Consumo não Cíclico
RAIL3,017450,RUMO S.A.,Bens Industriais
RENT3,019739,LOCALIZA RENT A CAR S.A.,Consumo Cíclico
SANB11,020532,BCO SANTANDER (BRASIL) S.A.,Financeiro
SAPR11,018627,CIA SANEAMENTO DO PARANA - SANEPAR,Utilidade Pública
SBSP3,014443,CIA SANEAMENTO BASICO EST SAO PAULO,Utilidade Pública
SLCE3,020745,SLC AGRICOLA S.A.,Consumo não Cíclico
SMTO3,020516,SAO MARTINHO S.A.,Consumo não Cíclico
SUZB3,013986,SUZANO S.A.,Materiais Básicos
TAEE11,020257,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Utilidade Pública
TIMS3,024929,TIM S.A.,Comunicações
TOTS3,019992,TOTVS S.A.,Tecnologia
UGPA3,018465,ULTRAPAR PARTICIPACOES S.A.,Petróleo e Gás
UNIP6,011592,UNIPAR CARBOCLORO S.A.,Materiais Básicos
USIM5,014320,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,Materiais Básicos
VALE3,004170,VALE S.A.,Materiais Básicos
VBBR3,024295,VIBRA ENERGIA S/A,Petróleo e Gás
VIVT3,017671,TELEFÔNICA BRASIL S.A,Comunicações
WEGE3,005410,WEG S.A.,Bens Industriais
